id,ime_barke,tip_barke,cena,dolzina,sirina,letnik,st_kabin,st_ur,drzava
1071,Pershing 37',Motor Yacht,175000,11.78,3.25,2006,2,720,Italy
1072,Cantieri di Pisa Super Polaris,Classic Power Boat,,13.2,3.8,1968,1,250,Italy
1073,Cranchi T 36 CROSSOVER,Classic Power Boat,370000,9.96,3.49,2019,2,320,Italy
1074,Cigarette Apache,Sport Boat,95000,11.88,3.04,2008,1,160,Italy
1076,Sealine F430 Fly,Flybridge,749000,13.55,4.2,2020,2,150,Italy
1077,"Longo Fratelli LADY 5,50",Center Console,14000,5.5,2.1,2012,,,Italy
108,Italcraft FAST 35,Center Console,45000,10.5,3.5,1981,2,85,Italy
1080,Frauscher Riviera 606,Classic Power Boat,,6.06,2.2,2010,,200,Italy
1081,Profilmarine CHEROKEE 60,Motor Yacht,450000,18.0,4.5,1990,,50,
1082,Dominator 86,Flybridge,1400000,27.2,6.6,2006,4,2150,Italy
1083,Sessa C42,Motor Yacht,175000,13.12,3.85,2006,2,680,Italy
1084,Timossi Lario,Runabout,63000,6.5,2.4,1966,,,Italy
1085,Austin Parker AP 74 Fly,Flybridge,,23.33,6.2,2023,4,,
1086,Austin Parker AP 64 Fly,Flybridge,,19.3,6.2,2023,3,,
1087,Austin Parker AP 54 Fly,Flybridge,,16.04,5.06,2023,3,,
1088,Austin Parker AP 48 SUNDECK,Hardtop,,15.5,4.6,2023,3,,
1089,Austin Parker AP 44 Sedan,Motor Yacht,,12.49,4.21,2023,2,,
109,Ferretti 76,Flybridge,650000,23.45,5.95,2001,4,1850,Italy
1090,Austin Parker AP 36 Open,Hardtop,440000,9.98,3.75,2023,2,,Italy
1091,Quicksilver 755 Sundeck,Cabin Cruiser,65000,7.23,2.55,2021,1,70,Italy
1092,Sealine SC 35 ht,Hardtop,183000,10.5,3.75,2008,2,530,Italy
1093,Ranieri NEXT 220 SH,Sport Boat,65000,7.35,2.5,2019,1,400,Italy
1094,Rio 32 ART,Motor Yacht,74000,9.9,2.98,2005,2,874,Italy
1095,Eolo 590 cabin,Cabin Cruiser,24000,6.0,2.5,2013,1,40,Italy
1096,"Salpa Laver 38,5",Motor Yacht,122000,12.01,3.78,2004,3,600,Italy
1097,Wellcraft SCARAB 31,Sport Boat,42000,9.47,2.36,1993,,,Italy
1098,Bruno Abbate Primatist G 29,Sport Boat,40000,8.43,2.58,1994,2,316,Italy
1099,Ferretti 57,Motor Yacht,280000,17.0,4.93,1999,4,2400,Italy
110,Maiora 20s,Superyacht,680000,21.38,5.6,2006,3,1200,Italy
1100,Custom Line Navetta 27,Motor Yacht,,27.45,7.0,2000,4,4000,Italy
1101,Off Course Adrenalin 38' Off Shore,Motor Yacht,35000,10.95,2.8,1995,1,300,Italy
1102,Bavaria S40 COUPE,Hardtop,269000,12.21,3.99,2019,,75,Italy
1103,Apreamare Smeraldo 7,Pilothouse,,7.5,2.8,1997,1,210,Italy
1104,Fairline Targa 43,Cabin Cruiser,175000,13.2,3.84,2004,2,,Italy
1105,Bénéteau Swift Trawler 44,Flybridge,325000,12.17,4.25,2011,2,580,Italy
1106,Gozzo Olandese Makma Loungevlet,Sloep,34500,7.0,2.65,2009,,447,Italy
1107,Tornado 45 S,Motor Yacht,150000,12.89,3.86,1995,2,320,Italy
1108,Tornado 38' Flush Deck,Motor Yacht,,11.8,3.9,2019,1,400,Italy
1109,Sanlorenzo SL 72,Motor Yacht,500000,22.78,5.68,2000,,2805,
111,Cranchi SMERALDO 36,Motor Yacht,68000,10.92,3.8,1995,2,700,Italy
1110,Chris Craft wood,Classic Power Boat,,5.19,1.58,1950,,,Italy
1111,Azimut 39,Flybridge,140000,11.99,4.02,1999,2,850,Italy
1112,Carnevali 160,Motor Yacht,345000,16.1,4.7,2006,3,650,Italy
1115,Cantieri Navali Liguri NUOVA NAUTICA LIGURE 43,Hardtop,109000,13.0,3.6,2007,2,400,Italy
1116,Carnevali 160,Motor Yacht,345000,16.1,4.7,2006,3,650,Italy
1117,Cayman 62 HT,Hardtop,590000,19.5,5.03,2011,3,700,Italy
1118,Catarsi CALAFURIA 7,Pilothouse,17000,7.0,2.95,1974,1,,Italy
1119,Bertram Yacht 38' Sport fish MK 3,Fishing Boat,150000,11.5,4.03,1980,2,750,Italy
112,Giomarine Summer 25,Hardtop,50000,8.0,3.1,2006,2,60,Italy
1120,Catarsi CALAFURIA 13 SUPER,Flybridge,150000,14.2,4.6,1995,3,920,Italy
1121,Tripesce QUATTROMORI 6.0,Center Console,29500,5.99,2.1,2023,,,Italy
1122,Cayman 52 W.A.,Motor Yacht,,16.4,4.6,2006,3,1780,Italy
1123,Jeanneau Prestige 630,Flybridge,,16.83,5.15,2017,3,620,Italy
1124,Marino Costruzioni Nautiche Artemide 500,Center Console,10000,5.0,2.4,2008,,350,Italy
1125,Colombo 29 Racing,Deck Boat,35000,8.85,2.75,1987,,,Italy
1126,Arcadia SHERPA 80,Motor Yacht,,23.98,6.98,2021,4,380,Italy
1127,Carnevali 160 Fly,Flybridge,345000,16.02,4.56,2006,3,650,Italy
1128,Cranchi MEDITERRANEE 43 HARD TOP,Hardtop,238000,11.93,4.13,2007,2,720,Italy
1129,Riva RAMA 44,Motor Yacht,345000,13.4,3.88,2002,1,910,Italy
113,Cranchi ENDURANCE 41,Sport Boat,139000,11.93,3.5,2006,2,505,Italy
1130,Sealine C330v,Motor Yacht,240000,10.31,3.5,2021,2,50,Italy
1131,Gobbi 245 Cabin,Cabin Cruiser,29000,7.8,2.5,2002,1,200,Italy
1132,Tuccoli Marine T210 VM,Center Console,47569,6.88,2.55,2023,,,Italy
1133,Eolo Powercraft Eolo - Tobago,Sport Boat,4500,5.3,2.15,1994,,,Italy
1135,A. Mostes Offshore 32.9,Cabin Cruiser,,9.99,2.99,2007,1,550,Italy
1136,Sealine SC 35 ht,Hardtop,183000,10.5,3.75,2008,2,530,Italy
1138,Giomarine Summer 25,Hardtop,50000,8.0,3.1,2006,2,60,Italy
1139,Azimut S6,Hardtop,,17.55,4.7,2020,3,250,Italy
